,contact?,point_of_contact,lead_author,lead_aff,anchor_author,email_subject,pub_title,pub_url,published_by,funded_by,cites,pub_snippet,included_astrobiology,included_astronomy,included_ysp
0,No,,,,,We appreciate your The Astronomical Journal paper,An Ensemble of Bayesian Neural Networks for Exoplanetary Atmospheric Retrieval,https://doi.org/10.3847/1538-3881/ab2390,The Astronomical Journal,The Astronomical Journal,57,"Abstract Machine learning (ML) is now used in many areas of astrophysics, from detecting 
exoplanets in Kepler transit signals to removing telescope systematics. Recent work ...",0,0,0
0,No,Julia M. McGonigle,Julia M. McGonigle,"School of Biological Sciences, The University of Utah, 257 South 1400 East, Salt Lake City, Utah 84112, United States",Rebecca J. Rapf,We appreciate your ACS Earth and Space Chemistry paper,Astrobiology Graduate Conference: A 15 Year Retrospective,https://doi.org/10.1021/acsearthspacechem.9b00288,ACS Earth and Space Chemistry,ACS Earth and Space Chemistry,4,"... The 2019 AbGradCon was made possible with generous support from the NAI, the 
Heising-Simons Foundation, ELSI, the Blue Marble Space Institute of Science, and ACS Earth and ...",1,0,0
0,No,E. T. Wolf,E. T. Wolf,,J. Haqq-Misra,We appreciate your The Astrophysical Journal paper,Simulated Phase-dependent Spectra of Terrestrial Aquaplanets in M Dwarf Systems,https://doi.org/10.3847/1538-4357/ab184a,The Astrophysical Journal,The Astrophysical Journal,26,"Orbital phase-dependent variations in thermal emission and reflected stellar energy spectra 
can provide meaningful constraints on the climate states of terrestrial extrasolar planets ...",0,0,0
0,No,Edward W. Schwieterman,Edward W. Schwieterman,,Timothy W. Lyons,We appreciate your The Astrophysical Journal paper,Rethinking CO Antibiosignatures in the Search for Life Beyond the Solar System,https://doi.org/10.3847/1538-4357/ab05e1,The Astrophysical Journal,The Astrophysical Journal,33,"Some atmospheric gases have been proposed as counter indicators to the presence of life 
on an exoplanet if remotely detectable at sufficient abundance (ie, antibiosignatures), ...",0,0,0
0,No,Edward W. Schwieterman,Edward W. Schwieterman,,Timothy W. Lyons,We appreciate your The Astrophysical Journal paper,A Limited Habitable Zone for Complex Life,https://doi.org/10.3847/1538-4357/ab1d52,The Astrophysical Journal,The Astrophysical Journal,40,"The habitable zone (HZ) is commonly defined as the range of distances from a host star within 
which liquid water, a key requirement for life, may exist on a planet's surface. Substantially ...",0,0,0
0,No,Jacob Haqq-Misra,Jacob Haqq-Misra,,Jacob Haqq-Misra,We appreciate your Futures paper,Introduction: Detectability of future Earth,https://doi.org/10.1016/j.futures.2018.11.006,Futures,Futures,2,"Earth's future detectability depends upon the trajectory of our civilization over the coming 
centuries. Human civilization is also the only known example of an energy-intensive civilization, ...",0,0,0
0,No,Konosuke Mark Ii,Konosuke Mark Ii,,Kazuharu Arakawa,We appreciate your Journal of Genomics paper,"Complete Genome Sequence of<i> Arthrobacter sp</i>. Strain MN05-02, a UV-Resistant Bacterium from a Manganese Deposit in the Sonoran Desert",https://doi.org/10.7150/jgen.32194,Journal of Genomics,Journal of Genomics,2,"Arthrobacter sp. strain MN05-02 is a UV-resistant bacterium isolated from a manganese deposit 
in the Sonoran Desert, Arizona, USA. The LD10 of this strain is 123 Jm-2, which is twice ...",0,0,0
0,No,Anamaria Berea,Anamaria Berea,,Mark Lupisella,We appreciate your   paper,The Social Sciences Interdisciplinarity for Astronomy and Astrophysics - Lessons from the History of NASA and Related Fields,https://doi.org/10.31235/osf.io/pfvw2, , ,0,"In this paper we showcase the importance of understanding and measuring interdisciplinarity 
and other-disciplinarity concepts for all scientists, the role social sciences have historically ...",1,0,0
0,No,Chelsea Haramia,Chelsea Haramia,,Julia DeMarines,We appreciate your Theology and Science paper,The Imperative to Develop an Ethically-Informed METI Analysis,https://doi.org/10.1080/14746700.2019.1557800,Theology and Science,Theology and Science,4,"There is currently a divide among astrobiologists on the question of whether to transmit 
intentional, directed messages into space. This debate raises several questions pertaining to ...",0,0,0
0,No,Shawn Domagal-Goldman,Shawn Domagal-Goldman,NASA Goddard Space Flight Center,Eric D. Lopez,We appreciate your Bulletin of the AAS paper,Astrobiology as a NASA Grand Challenge,https://doi.org/10.3847/25c2cfeb.a1568216,Bulletin of the AAS,Bulletin of the AAS,0,"""Are we alone"" is a question whose ambition can only be met with a NASA-led global 
collaboration. In this white paper, we describe how this makes ""The Search for Life Beyond Earth"" ...",1,0,0
